"primary_spa_name","primary_spa_city","competitor_rank","competitor_name","competitor_review_count","competitor_star_rating","competitor_distance_miles","competitor_gbp_url"
"Lisse Aesthetics","Dallas","1","NakedMD Med Spa Dallas","582","4.9","2.01","https://www.google.com/maps/search/?api=1&query=NakedMD%20Med%20Spa%20Dallas&query_place_id=ChIJj2R7CNAhTIYR-jVvd4jqwYQ"
"Lisse Aesthetics","Dallas","2","OMNI SCULPT MD: Med Spa","463","5.0","0.21","https://www.google.com/maps/search/?api=1&query=OMNI%20SCULPT%20MD%3A%20Med%20Spa&query_place_id=ChIJeXuQkfShToYRv2GPVWSAB98"
"Lisse Aesthetics","Dallas","3","AYA Medical Spa Dallas - University Park","139","5.0","2.8","https://www.google.com/maps/search/?api=1&query=AYA%20Medical%20Spa%20Dallas%20-%20University%20Park&query_place_id=ChIJo_L80uifToYRmY82xz8pKrg"
"Bare Aesthetics Dallas","Dallas","1","It's A Secret Med Spa","574","4.6","0.77","https://www.google.com/maps/search/?api=1&query=It's%20A%20Secret%20Med%20Spa&query_place_id=ChIJsSzHhjGZToYRNTzakPv8gq8"
"Bare Aesthetics Dallas","Dallas","2","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","0.76","https://www.google.com/maps/search/?api=1&query=Lemmon%20Avenue%20Plastic%20Surgery%20and%20Laser%20Center&query_place_id=ChIJN_OiSCuZToYRc0N9LjtYaP4"
"Bare Aesthetics Dallas","Dallas","3","OVME","250","4.8","0.53","https://www.google.com/maps/search/?api=1&query=OVME&query_place_id=ChIJW8NOn-mfToYRou8QHdl_Iu8"
"Bella MedSpa - Dallas MedSpa","Dallas","1","Calypso Aesthetic Lab","203","5.0","3.77","https://www.google.com/maps/search/?api=1&query=Calypso%20Aesthetic%20Lab&query_place_id=ChIJTTvaCtqdToYRYdiL9GnoJuk"
"Bella MedSpa - Dallas MedSpa","Dallas","2","VIV Wellness","111","5.0","3.42","https://www.google.com/maps/search/?api=1&query=VIV%20Wellness&query_place_id=ChIJ53d-3qSZToYRbwVvERiF6kc"
"Bella MedSpa - Dallas MedSpa","Dallas","3","Dallas Aesthetic Studio","110","5.0","2.98","https://www.google.com/maps/search/?api=1&query=Dallas%20Aesthetic%20Studio&query_place_id=ChIJs2Doe-iZToYR1KHKTP18mUQ"
"It's A Secret Med Spa","Dallas","1","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","0.25","https://www.google.com/maps/search/?api=1&query=Lemmon%20Avenue%20Plastic%20Surgery%20and%20Laser%20Center&query_place_id=ChIJN_OiSCuZToYRc0N9LjtYaP4"
"It's A Secret Med Spa","Dallas","2","OVME","250","4.8","0.72","https://www.google.com/maps/search/?api=1&query=OVME&query_place_id=ChIJW8NOn-mfToYRou8QHdl_Iu8"
"It's A Secret Med Spa","Dallas","3","SkinSpirit West Village Dallas","150","4.9","0.11","https://www.google.com/maps/search/?api=1&query=SkinSpirit%20West%20Village%20Dallas&query_place_id=ChIJyVE92lOfToYRq1HCZBLZF0M"
"Calypso Aesthetic Lab","Dallas","1","Mara's Med Spa","603","4.8","1.61","https://www.google.com/maps/search/?api=1&query=Mara's%20Med%20Spa&query_place_id=ChIJVTgC-i-ZToYRnhM8bs_V0V8"
"Calypso Aesthetic Lab","Dallas","2","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","2.03","https://www.google.com/maps/search/?api=1&query=Lemmon%20Avenue%20Plastic%20Surgery%20and%20Laser%20Center&query_place_id=ChIJN_OiSCuZToYRc0N9LjtYaP4"
"Calypso Aesthetic Lab","Dallas","3","The Science of Beauty","201","5.0","1.44","https://www.google.com/maps/search/?api=1&query=The%20Science%20of%20Beauty&query_place_id=ChIJlRYFrG-ZToYR8Q7o9DDXScI"
"Aurum Health","Dallas","1","UPKEEP Med Spa","887","4.9","0.34","https://www.google.com/maps/search/?api=1&query=UPKEEP%20Med%20Spa&query_place_id=ChIJAR_dnRWfToYR5ElZ5LxdzTg"
"Aurum Health","Dallas","2","It's A Secret Med Spa","574","4.6","0.79","https://www.google.com/maps/search/?api=1&query=It's%20A%20Secret%20Med%20Spa&query_place_id=ChIJsSzHhjGZToYRNTzakPv8gq8"
"Aurum Health","Dallas","3","OVME","250","4.8","0.79","https://www.google.com/maps/search/?api=1&query=OVME&query_place_id=ChIJW8NOn-mfToYRou8QHdl_Iu8"
"Lily Aesthetics & Wellness","Dallas","1","NakedMD Med Spa Dallas","582","4.9","3.22","https://www.google.com/maps/search/?api=1&query=NakedMD%20Med%20Spa%20Dallas&query_place_id=ChIJj2R7CNAhTIYR-jVvd4jqwYQ"
"Lily Aesthetics & Wellness","Dallas","2","SkinSpaMED","421","4.9","1.35","https://www.google.com/maps/search/?api=1&query=SkinSpaMED&query_place_id=ChIJw2ZFgt4gTIYRESSpN1nY-2I"
